Entity,Code,Year,waste,capital,lat,long
Liberia,LBR,2010,0.084,Monrovia,6.311839,-10.806833
Libya,LBY,2010,0.144,Tripolis,32.887658,13.193182
Lithuania,LTU,2010,0.132,Vilnius,54.696377,25.28641
Macao,MAC,2010,0.368,Macao,22.201809,113.541758
Madagascar,MDG,2010,0.016,Antananarivo,-18.85018,47.504264
Malaysia,MYS,2010,0.198,Kuala Lumpur,3.143415,101.674399
Maldives,MDV,2010,0.322,Mal�,4.175707,73.508925
Malta,MLT,2010,0.214,Valletta,35.898586,14.515414
Marshall Islands,MHL,2010,0.192,Majuro,7.092524,171.382384
Martinique,MTQ,2010,0.252,Fort-de-France,14.615363,-61.060812
Mauritania,MRT,2010,0.045,Nuakschott,18.05432,-15.965013
Mauritius,MUS,2010,0.23,Port Louis,-20.165131,57.500105
Mexico,MEX,2010,0.087,Mexiko-Stadt,19.407633,-99.132885
Micronesia (country),FSM,2010,0.103,Kolonia,6.957852,158.213099
Monaco,MCO,2010,0.252,Monaco,43.737039,7.427853
Montenegro,MNE,2010,0.144,Podgorica,42.425298,19.260588
Montserrat,MSR,2010,0.144,Plymouth ,16.706877,-62.216111
Morocco,MAR,2010,0.073,Rabat,33.99094,-6.847942
Mozambique,MOZ,2010,0.015,Maputo,-25.976206,32.588365
Myanmar,MMR,2010,0.075,Naypyidaw,19.779859,96.085346
Namibia,NAM,2010,0.144,Windhuk,-22.569832,17.070791
Nauru,NRU,2010,0.144,Yaren,-0.547054,166.920616
Netherlands,NLD,2010,0.424,Amsterdam,52.3652,4.900618
Netherlands Antilles,ANT,2010,0.252,,,
New Caledonia,NCL,2010,0.252,Noum�a,-22.272006,166.432608
New Zealand,NZL,2010,0.331,Wellington,-41.272998,174.775209
Nicaragua,NIC,2010,0.143,Managua,12.114259,-86.220191
Nigeria,NGA,2010,0.103,Abuja,9.067113,7.395786
Niue,NIU,2010,0.252,Alofi,-19.054926,-169.918263
Norfolk Island,NFK,2010,0.103,Kingston,-29.056151,167.960787
North Korea,PRK,2010,0.054,Pj�ngjang,39.029305,125.752244
Northern Mariana Islands,MNP,2010,0.252,Capitol Hill,15.217562,145.756503
Norway,NOR,2010,0.28,Oslo,59.91616,10.737733
Oman,OMN,2010,0.084,Maskat,23.58941,58.383489
Pakistan,PAK,2010,0.103,Islamabad,33.685433,73.044162
Palau,PLW,2010,0.144,Ngerulmud,7.500004,134.625779
Palestine,PSE,2010,0.063,Ramallah,31.904144,35.203479
Panama,PAN,2010,0.145,Panama City,8.998689,-79.524211
Papua New Guinea,PNG,2010,0.103,Port Moresby,-9.444926,147.194315
Peru,PER,2010,0.144,Lima District,-12.052863,-77.036523
Philippines,PHL,2010,0.075,Manila,14.604359,120.991529
Poland,POL,2010,0.097,Warschau,52.224751,21.007984
Portugal,PRT,2010,0.265,Lissabon,38.73751,-9.137993
Puerto Rico,PRI,2010,0.252,San Juan,18.465695,-66.078986
Qatar,QAT,2010,0.16,Doha,25.310797,51.526532
Reunion,REU,2010,0.144,Saint-Denis,-20.891654,55.456003
Romania,ROU,2010,0.042,Bukarest,44.419986,26.108356
Russia,RUS,2010,0.112,Moskau,55.740365,37.63091
Saint Helena,SHN,2010,0.144,Jamestown ,-15.928102,-5.717673
Saint Kitts and Nevis,KNA,2010,0.654,Basseterre ,17.302548,-62.714758
Saint Lucia,LCA,2010,0.522,Castries,14.009567,-60.989816
Saint Pierre and Miquelon,SPM,2010,0.252,Miquelon-Langlade,47.099539,-56.384408
Saint Vincent and the Grenadines,VCT,2010,0.221,Kingstown,13.159223,-61.22474
Samoa,WSM,2010,0.103,Apia,-13.851244,-171.756226
Sao Tome and Principe,STP,2010,0.103,S�o Tom�,0.33079,6.732568
Saudi Arabia,SAU,2010,0.156,Riad,24.70599,46.652077
Senegal,SEN,2010,0.103,Dakar,14.717046,-17.462718
Seychelles,SYC,2010,0.358,Victoria,-4.620472,55.452353
Sierra Leone,SLE,2010,0.041,Freetown,8.466825,-13.232571
Singapore,SGP,2010,0.194,Singapore,1.359683,103.867369
Sint Maarten (Dutch part),SXM,2010,0.252,Philipsburg,18.029342,-63.045326
Slovenia,SVN,2010,0.145,Ljubljana,46.049851,14.508493
Solomon Islands,SLB,2010,0.103,Honiara,-9.445409,159.95682
Somalia,SOM,2010,0.054,Mogadischu,2.058773,45.324008
South Africa,ZAF,2010,0.24,Kapstadt,-33.920917,18.450033
South Korea,KOR,2010,0.112,Seoul,37.54542,126.992289
Spain,ESP,2010,0.277,Madrid,40.442263,-3.667517
Sri Lanka,LKA,2010,0.357,Colombo,6.92794,79.866566
Sudan,SDN,2010,0.103,Khartum,15.506182,32.553805
Suriname,SUR,2010,0.163,Paramaribo,5.851053,-55.189866
Sweden,SWE,2010,0.048,Stockholm,59.345489,18.034107
Syria,SYR,2010,0.178,Damaskus,33.546821,36.305547
Taiwan,TWN,2010,0.252,Taipeh,25.023544,121.58117
Tanzania,TZA,2010,0.023,Dodoma,-6.179087,35.765251
Thailand,THA,2010,0.144,Bangkok,13.786005,100.502383
Togo,TGO,2010,0.057,Lom�,6.125286,1.303693
Tokelau,TKL,2010,0.103,Nukunonu Village,-9.198392,-171.850921
Tonga,TON,2010,0.223,Nuku'alofa,-21.140305,-175.210305
Trinidad and Tobago,TTO,2010,3.6,Port of Spain,10.651379,-61.537646
Tunisia,TUN,2010,0.144,Tunis,36.818608,10.193812
Turkey,TUR,2010,0.212,Ankara,39.924731,32.874155
Turks and Caicos Islands,TCA,2010,0.252,Cockburn Town,21.469702,-71.135459
Tuvalu,TUV,2010,0.144,Vaiaku,-8.517502,179.200361
Ukraine,UKR,2010,0.103,Kiew,50.786534,30.66976
United Arab Emirates,ARE,2010,0.199,Abu Dhabi,24.449897,54.371238
United Kingdom,GBR,2010,0.215,London,51.52634,-0.174663
United States,USA,2010,0.335,Washington,38.951223,-77.035615
Uruguay,URY,2010,0.252,Montevideo,-34.851604,-56.122471
Vanuatu,VUT,2010,0.295,Port Vila,-17.73616,168.32379
Venezuela,VEN,2010,0.252,Caracas,10.47318,-66.90451
Vietnam,VNM,2010,0.103,Hanoi,21.027065,105.83456
Yemen,YEM,2010,0.103,Sanaa,15.377512,44.186119
